project_name,street_name,type,postal_district,market_segment,tenure,type_of_sale,no_of_units,price_in_sgd,nett_price,area_sqft,type_of_area,floor_level,unit_price_psf,date_of_sale
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,2025000,-,818,Strata,06 to 10,2475,Feb-21
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1100000,-,635,Strata,16 to 20,1732,Feb-21
HOLLAND HILL PARK,HOLLAND HILL,Condominium,10,CCR,Freehold,Resale,1,2450000,-,1625,Strata,01 to 05,1507,Feb-21
RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,Resale,1,968000,-,527,Strata,01 to 05,1835,Feb-21
URBANA,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,Resale,1,2650000,-,1313,Strata,16 to 20,2018,Feb-21
SUTTON PLACE,FARRER ROAD,Condominium,10,CCR,Freehold,Resale,1,2328000,-,1356,Strata,01 to 05,1716,Feb-21
CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,Resale,1,1350000,-,689,Strata,01 to 05,1960,Feb-21
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1755000,-,1012,Strata,21 to 25,1735,Feb-21
SOPHIA RESIDENCE,SOPHIA ROAD,Condominium,9,CCR,Freehold,Resale,1,2330000,-,1453,Strata,01 to 05,1603,Feb-21
PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,Resale,1,3280000,-,1701,Strata,06 to 10,1929,Feb-21
ORCHARD TOWERS,CLAYMORE DRIVE,Apartment,9,CCR,Freehold,Resale,1,2550000,-,1970,Strata,11 to 15,1295,Feb-21
6 DERBYSHIRE,DERBYSHIRE ROAD,Condominium,11,CCR,Freehold,Resale,1,1490000,-,732,Strata,11 to 15,2036,Feb-21
PARC SOPHIA,ADIS ROAD,Apartment,9,CCR,Freehold,Resale,1,900000,-,549,Strata,01 to 05,1639,Feb-21
RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,Resale,1,950000,-,603,Strata,01 to 05,1576,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2708000,-,990,Strata,01 to 05,2735,Feb-21
8 SAINT THOMAS,ST. THOMAS WALK,Condominium,9,CCR,Freehold,Resale,1,3550000,-,1302,Strata,06 to 10,2726,Feb-21
ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,Resale,1,1600000,-,1033,Strata,06 to 10,1548,Feb-21
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1960930,-,829,Strata,01 to 05,2366,Feb-21
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,Freehold,New Sale,1,1330000,-,463,Strata,06 to 10,2873,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2877000,-,1066,Strata,01 to 05,2700,Feb-21
MIRAGE TOWER,KIM SENG ROAD,Condominium,9,CCR,Freehold,Resale,1,1250000,-,570,Strata,21 to 25,2191,Feb-21
111 EMERALD HILL,EMERALD HILL ROAD,Apartment,9,CCR,Freehold,Resale,1,5400000,-,2497,Strata,06 to 10,2162,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,3119000,-,1141,Strata,01 to 05,2734,Feb-21
THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,Resale,1,3230000,-,1894,Strata,06 to 10,1705,Feb-21
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 yrs lease commencing from 2006,Resale,1,2335000,-,1442,Strata,31 to 35,1619,Feb-21
THE SERENADE @ HOLLAND,HOLLAND ROAD,Condominium,10,CCR,99 yrs lease commencing from 2001,Resale,1,1400000,-,1152,Strata,01 to 05,1216,Feb-21
THE MARQ ON PATERSON HILL,PATERSON HILL,Condominium,9,CCR,Freehold,Resale,1,25000000,-,6232,Strata,01 to 05,4011,Feb-21
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,Freehold,New Sale,1,2898000,-,1044,Strata,01 to 05,2776,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2194000,-,958,Strata,11 to 15,2290,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2166000,-,915,Strata,11 to 15,2367,Feb-21
SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 yrs lease commencing from 1991,Resale,1,1510000,-,1012,Strata,11 to 15,1492,Feb-21
GRANGE RESIDENCES,GRANGE ROAD,Condominium,10,CCR,Freehold,Resale,1,7380000,-,2852,Strata,06 to 10,2587,Feb-21
REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,Resale,1,6800000,-,3649,Strata,16 to 20,1864,Feb-21
8 RODYK,RODYK STREET,Apartment,9,CCR,Freehold,Resale,1,3111900,-,1518,Strata,06 to 10,2050,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,6773000,-,2067,Strata,26 to 30,3277,Feb-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,Freehold,New Sale,1,6588000,-,2067,Strata,16 to 20,3188,Feb-21
PATERSON SUITES,PATERSON ROAD,Condominium,9,CCR,Freehold,Resale,1,4950000,-,2164,Strata,01 to 05,2288,Feb-21
ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,Condominium,10,CCR,Freehold,Resale,1,4000000,-,2982,Strata,01 to 05,1342,Feb-21
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,Resale,1,4680000,-,1970,Strata,01 to 05,2376,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,1608000,-,689,Strata,01 to 05,2334,Feb-21
THREE BUCKLEY,BUCKLEY ROAD,Apartment,11,CCR,Freehold,Resale,1,3490825,-,2336,Strata,01 to 05,1494,Feb-21
THE MORNINGSIDE,JALAN KUALA,Apartment,9,CCR,Freehold,Resale,1,2500000,-,1302,Strata,06 to 10,1919,Feb-21
26 NEWTON,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,1797469,-,775,Strata,06 to 10,2319,Feb-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 yrs lease commencing from 2018,New Sale,1,3532000,-,1496,Strata,01 to 05,2361,Feb-21
MARTIN MODERN,MARTIN PLACE,Condominium,9,CCR,99 yrs lease commencing from 2016,New Sale,1,1893400,1882600,764,Strata,01 to 05,2463,Feb-21
THE HYDE,BALMORAL ROAD,Condominium,10,CCR,Freehold,New Sale,1,1371000,-,495,Strata,01 to 05,2769,Feb-21
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,Freehold,New Sale,1,1790000,-,667,Strata,01 to 05,2682,Feb-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 yrs lease commencing from 2019,New Sale,1,2555000,-,1098,Strata,06 to 10,2327,Feb-21
THE HYDE,BALMORAL ROAD,Condominium,10,CCR,Freehold,New Sale,1,3856720,-,1249,Strata,01 to 05,3089,Feb-21
8 SAINT THOMAS,ST. THOMAS WALK,Condominium,9,CCR,Freehold,Resale,1,3562800,-,1302,Strata,06 to 10,2735,Feb-21
LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,Resale,1,6100000,-,2766,Strata,01 to 05,2205,Feb-21
MONTEBLEU,MINBU ROAD,Condominium,11,CCR,Freehold,Resale,1,2340100,-,1475,Strata,06 to 10,1587,Feb-21
TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,Resale,1,1900000,-,1033,Strata,01 to 05,1839,Feb-21
M21,MANDALAY ROAD,Apartment,11,CCR,Freehold,Resale,1,2700000,-,1755,Strata,16 to 20,1539,Feb-21
HAUS ON HANDY,HANDY ROAD,Condominium,9,CCR,99 yrs lease commencing from 2018,New Sale,1,1820896,-,635,Strata,11 to 15,2867,Feb-21
NEWTON SUITES,NEWTON ROAD,Apartment,11,CCR,Freehold,Resale,1,2800000,-,1238,Strata,26 to 30,2262,Feb-21
REIGNWOOD HAMILTON SCOTTS,SCOTTS ROAD,Apartment,9,CCR,Freehold,Resale,1,7080000,-,2756,Strata,06 to 10,2569,Feb-21
FERRELL RESIDENCES,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,Resale,1,3200000,-,1841,Strata,06 to 10,1739,Feb-21
LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,Resale,1,6130000,-,2766,Strata,16 to 20,2216,Feb-21
MARTIN PLACE RESIDENCES,MARTIN PLACE,Condominium,9,CCR,Freehold,Resale,1,2420000,-,1044,Strata,21 to 25,2318,Feb-21
WATERMARK ROBERTSON QUAY,RODYK STREET,Apartment,9,CCR,Freehold,Resale,1,3095000,-,1830,Strata,06 to 10,1691,Feb-21
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,Resale,1,1128000,-,635,Strata,11 to 15,1776,Feb-21
