project_name,street_name,type,postal_district,market_segment,tenure,type_of_sale,no_of_units,price_in_sgd,nett_price,area_sqft,type_of_area,floor_level,unit_price_psf,date_of_sale
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2018,New Sale,1,836000,-,635,Strata,06 to 10,1316,Feb-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2018,New Sale,1,905000,-,721,Strata,06 to 10,1255,Feb-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2018,New Sale,1,824000,-,635,Strata,01 to 05,1297,Feb-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2018,New Sale,1,848000,-,635,Strata,01 to 05,1335,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1215000,-,850,Strata,11 to 15,1429,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,2054000,-,1722,Strata,01 to 05,1193,Feb-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2018,New Sale,1,729000,-,527,Strata,06 to 10,1382,Feb-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2018,New Sale,1,1070000,-,904,Strata,06 to 10,1183,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,941000,-,678,Strata,01 to 05,1388,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,884000,-,581,Strata,11 to 15,1521,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1348000,-,1033,Strata,01 to 05,1305,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1439000,-,1033,Strata,01 to 05,1393,Feb-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2018,New Sale,1,1564000,-,1270,Strata,01 to 05,1231,Feb-21
ELIAS GREEN,ELIAS GREEN,Condominium,18,OCR,99 yrs lease commencing from 1991,Resale,1,1090000,-,1528,Strata,11 to 15,713,Feb-21
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 yrs lease commencing from 2009,Resale,1,758000,-,592,Strata,11 to 15,1280,Feb-21
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 yrs lease commencing from 2012,Resale,1,600000,-,431,Strata,06 to 10,1394,Feb-21
D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,982888,-,936,Strata,01 to 05,1050,Feb-21
THE TROPICA,TAMPINES AVENUE 1,Condominium,18,OCR,99 yrs lease commencing from 1996,Resale,1,1130000,-,1227,Strata,11 to 15,921,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,1420000,-,1033,Strata,06 to 10,1374,Feb-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 yrs lease commencing from 2018,New Sale,1,912000,-,592,Strata,06 to 10,1540,Feb-21
BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,1030000,-,936,Strata,16 to 20,1100,Feb-21
THE GALE,FLORA ROAD,Condominium,17,OCR,Freehold,Resale,1,920000,-,969,Strata,06 to 10,950,Feb-21
VUE 8 RESIDENCE,PASIR RIS HEIGHTS,Condominium,18,OCR,99 yrs lease commencing from 2012,Resale,1,1480000,-,1346,Strata,06 to 10,1100,Feb-21
LAGUNA GREEN,JALAN HAJIJAH,Condominium,16,OCR,99 yrs lease commencing from 1995,Resale,1,1300000,-,1184,Strata,01 to 05,1098,Feb-21
STRATFORD COURT,BEDOK RIA CRESCENT,Condominium,16,OCR,99 yrs lease commencing from 1995,Resale,1,908000,-,980,Strata,01 to 05,927,Feb-21
