project_name,street_name,type,postal_district,market_segment,tenure,type_of_sale,no_of_units,price_in_sgd,nett_price,area_sqft,type_of_area,floor_level,unit_price_psf,date_of_sale
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 yrs lease commencing from 2017,New Sale,1,3268000,-,1970,Strata,36 to 40,1659,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1348000,-,527,Strata,51 to 55,2556,Feb-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2790180,-,1173,Strata,11 to 15,2378,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1977000,-,840,Strata,26 to 30,2355,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2250000,-,1109,Strata,26 to 30,2029,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1370000,-,527,Strata,36 to 40,2597,Feb-21
TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 yrs lease commencing from 2008,Resale,1,1650000,-,1119,Strata,16 to 20,1474,Feb-21
JUI RESIDENCES,SERANGOON ROAD,Apartment,12,RCR,Freehold,New Sale,1,1700000,-,883,Strata,16 to 20,1926,Feb-21
CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,Freehold,Resale,1,1580000,-,861,Strata,21 to 25,1835,Feb-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3007000,-,1496,Strata,31 to 35,2010,Feb-21
QUEENS,STIRLING ROAD,Condominium,3,RCR,99 yrs lease commencing from 1998,Resale,1,1528888,-,1195,Strata,06 to 10,1280,Feb-21
THE BELLEFORTE,AH HOOD ROAD,Apartment,12,RCR,Freehold,Resale,1,1840000,-,1432,Strata,16 to 20,1285,Feb-21
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,Resale,1,1580000,-,797,Strata,16 to 20,1984,Feb-21
AVA TOWERS,AVA ROAD,Apartment,12,RCR,Freehold,Resale,1,1450000,-,1281,Strata,01 to 05,1132,Feb-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1905000,-,807,Strata,16 to 20,2360,Feb-21
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,3,RCR,99 yrs lease commencing from 2006,Resale,1,2395000,-,1733,Strata,01 to 05,1382,Feb-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,860000,-,441,Strata,21 to 25,1949,Feb-21
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,Resale,1,845000,-,484,Strata,16 to 20,1744,Feb-21
